CntName,Criteria,Type,Coverage,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Kyrgyzstan,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33514,53745,..,..,..,..,..,..
Kyrgyzstan,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,909,863,..,..,..,..,..,..
Kyrgyzstan,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,82852,71315,103728,143619,71197,37302,27584,19538,15671,17818,27887,31633,32717,21209,22607,30741,34423,54608,41287,..,..,..,..,..
Kyrgyzstan,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,40939,37558,26275,23015,20104,18368,15910,12799,10219,7879,5349,5048,4893,4483,3284,3761,3420,3955,3497,..,..,..,..,..
Latvia,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1663,1421,1579,1335,440,507,712,991,1920,1881,3558,3918,..,23630,20421,19150
Latvia,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7211,4477,21332,23204,15397,15140,19455,16652,15099,13582,23487,34290,39651,6681,4742,3411
Latvia,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1248,408,295,303,195,284,428,617,493,986,939,521,..,7373,9637,4774
Latvia,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1875,1405,6188,5073,6447,3779,4416,6074,7719,6531,3739,3210,4011,2861,3666,3525
Latvia,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16512,12828,12333,8874,5898,22911,24539,15836,15647,20167,17643,17019,15463,27045,38208,39651,30311,25163,22561
Latvia,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,32285,14684,6199,4114,3046,2799,2747,2913,3123,1813,6483,5376,6642,4063,4844,6691,8212,7517,4678,3731,4011,10234,13303,8299
Liechtenstein,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,186,207,223,236
Liechtenstein,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,242,260,216,261
Liechtenstein,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1369,..,..,..,..,..,..,..,..,..,..,428,467,439,497
Liechtenstein,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2679,..,..,..,..,..,..,..,..,578,584,591,650,671,696
Lithuania,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1221,850,2023,24014,13129,22822,35279,54571,29678,27592,21793,33522,79315,51505,38479,35492
Lithuania,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,909,519,593,3827,3590,3461,2412,3314,2712,2791,3957,4978,3842,2358,2621,3326
Lithuania,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1178,1035,841,714,809,1313,3397,4705,5508,6141,6337,4821,4153,14012,17357,18975
Lithuania,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1528,1644,669,3980,4301,3415,2156,2084,2237,2468,2960,1666,1060,1673,2486,3036
Lithuania,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2130,1369,2616,27841,16719,26283,37691,57885,32390,30383,25750,38500,83157,53863,41100,38818
Lithuania,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,6640,2850,1664,2020,3025,2536,2706,2679,1510,4694,5110,4728,5553,6789,7745,8609,9297,6487,5213,15685,19843,22011
